mass,Hydrogen,Helium,Carbon,Nitrogen,Oxygen,Neon,Magnesium,Silicon,Sulphur,Calcium,Iron,total_metal,total_ejected
0.85,-0.00399238,0.003991525,-4.55E-06,5.48E-06,-8.01E-08,0,0,0,0,0,0,8.55E-07,0.2572482
0.918,-0.005048601,0.005047094,-8.19E-06,9.80E-06,-1.05E-07,0,0,0,0,0,0,1.51E-06,0.3161683
0.992,-0.006285233,0.00628276,-1.37E-05,1.63E-05,-1.39E-07,0,0,0,0,0,0,2.47E-06,0.38490278
1.071,-0.007577159,0.007572808,-2.41E-05,2.87E-05,-1.86E-07,0,0,0,0,0,0,4.35E-06,0.45222607
1.154,-0.012205784,0.011106112,9.70E-04,4.69E-05,8.31E-05,0,0,0,0,0,0,0.001099672,0.5212739
1.239,-0.033207063,0.025591057,0.006975587,6.11E-05,5.79E-04,0,0,0,0,0,0,0.007616007,0.6055978
1.315,-0.07155964,0.052029446,0.017986985,5.66E-05,0.001486576,0,0,0,0,0,0,0.01953019,0.6869174
1.407,-0.0969162,0.06948764,0.025272159,6.82E-05,0.002088161,0,0,0,0,0,0,0.027428562,0.7658069
1.499,-0.11909954,0.085014656,0.031399664,9.01E-05,0.00259507,0,0,0,0,0,0,0.034084883,0.85059017
1.583,-0.14597717,0.10395495,0.03870074,1.25E-04,0.003196771,0,0,0,0,0,0,0.042022217,0.9183698
1.667,-0.17350571,0.12286464,0.046650108,1.49E-04,0.003842317,0,0,0,0,0,0,0.050641067,0.9848546
1.75,-0.20007502,0.14124693,0.05421282,1.55E-04,0.004460561,0,0,0,0,0,0,0.05882809,1.0494518
1.832,-0.23174804,0.16358402,0.06282485,1.87E-04,0.005152091,0,0,0,0,0,0,0.06816401,1.15638
1.85,-0.22711758,0.16041517,0.06147707,1.88E-04,0.005037258,0,0,0,0,0,0,0.06670241,1.1297171
1.9,-0.23744436,0.1679915,0.06401015,2.10E-04,0.005232594,0,0,0,0,0,0,0.06945285,1.171
2,-0.26256147,0.1854737,0.07106076,2.25E-04,0.005802362,0,0,0,0,0,0,0.07708778,1.25
2.2,-0.2964651,0.2107485,0.07899229,3.22E-04,0.006402755,0,0,0,0,0,0,0.0857166,1.42
2.5,-0.31075284,0.2231308,0.0806762,4.71E-04,0.006475216,0,0,0,0,0,0,0.08762204,1.69
3,-0.30649313,0.2215998,0.07806752,6.14E-04,0.006211842,0,0,0,0,0,0,0.08489332,2.034
3.5,-0.22358996,0.16456728,0.024286,0.031018887,0.0037178,0,0,0,0,0,0,0.059022687,2.505
4,-0.24901271,0.1995236,0.0027199,0.0441288,0.00264041,0,0,0,0,0,0,0.049489114,3.001
4.5,-0.31929523,0.27901065,0.001793,0.037068162,0.00142343,0,0,0,0,0,0,0.04028459,3.481
5,-0.52172947,0.4714983,0.0019831,0.04699802,0.00125005,0,0,0,0,0,0,0.05023117,3.96
6,-0.92659795,0.8564736,0.0023633,0.066857736,0.00090329,0,0,0,0,0,0,0.07012433,4.918
