mass,Hydrogen,Helium,Carbon,Nitrogen,Oxygen,Neon,Magnesium,Silicon,Sulphur,Calcium,Iron,total_metal,total_ejected
6,-0.39455894,0.39605,-0.001841863,0.003548473,-0.001761978,-0.001435707,0,0,0,0,0,-0.001491075,4.7
7,-0.69714135,0.69899,-0.002413653,0.005000892,-0.002694687,-0.00174118,0,0,0,0,0,-0.001848628,5.7
9,-1.3487093,0.86951,0.08273343,0.006699037,0.145428,0.013083903,0.005927463,0.03641485,0.01840717,0.003616546,0.166889,0.4791994,7.654897
12,-2.3384452,1.0244,0.160637,0.008944775,0.684527,0.117919944,0.03818741,0.09081483,0.03994306,0.006735027,0.166336,1.3140452,10.500625
15,-3.2532556,1.11766,0.226899,0.01194901,1.27809,0.13711691,0.05731686,0.192269,0.09584437,0.01379452,0.122316,2.1355956,13.184878
20,-5.1652074,1.07307,0.253049,0.01420705,2.91323,0.08748887,0.04600593,0.371644,0.198942,0.02002042,0.18755,4.0921373,17.95977
30,-6.0061607,2.0546,0.295797,0.02556369,2.97717,0.50307196,0.129161,0.02024282,5.53E-04,1.46E-06,0,3.951561,23.023737
40,-6.27406,2.89054,0.334057,0.03378443,2.06111,0.7342584,0.22031,0,0,0,0,3.38352,27.37314
60,-10.198419,5.187158,0.3965794,0.05547043,3.430986,0.83328015,0.2949444,0,0,0,0,5.0112605,40.020008
100,-19.621792,11.48309,0.312612,0.10843,6.84938,0.49510863,0.373172,0,0,0,0,8.138702,63.23434
120,-31.979473,31.76582,0.04309672,0.202469,-0.03221971,3.07E-04,0,0,0,0,0,0.21365313,84.7216
